Fecha,Nivel
2011-12-11,42.90
2011-12-12,42.90
2011-12-13,43.00
2011-12-14,43.00
2011-12-15,42.90
2011-12-16,42.90
2011-12-17,42.90
2011-12-18,42.90
2011-12-19,43.00
2011-12-20,43.00
2011-12-21,43.00
2011-12-22,43.00
2011-12-23,43.00
2011-12-24,42.90
2011-12-25,42.90
2011-12-26,42.90
2011-12-27,
2011-12-28,
2011-12-29,
2011-12-30,42.80
2011-12-31,
2012-1-1,42.90
2012-1-2,43.00
2012-1-3,42.90
2012-1-4,42.90
2012-1-5,42.90
2012-1-6,42.80
2012-1-7,42.80
2012-1-8,42.70
2012-1-9,42.70
2012-1-10,42.60
2012-1-11,42.70
2012-1-12,42.70
2012-1-13,42.70
2012-1-14,
2012-1-15,
2012-1-16,42.10
2012-1-17,42.70
2012-1-18,42.70
2012-1-19,42.70
2012-1-20,42.70
2012-1-21,42.70
2012-1-22,42.70
2012-1-23,42.70
2012-1-24,42.70
2012-1-25,42.70
2012-1-26,42.70
2012-1-27,42.70
2012-1-28,42.70
2012-1-29,42.60
2012-1-30,42.60
2012-1-31,42.60
2012-2-1,42.60
2012-2-2,42.60
2012-2-3,42.60
2012-2-4,
2012-2-5,
2012-2-6,
2012-2-7,
2012-2-8,
2012-2-9,
2012-2-10,
2012-2-11,
2012-2-12,
2012-2-13,
2012-2-14,
2012-2-15,
2012-2-16,
2012-2-17,
2012-2-18,
2012-2-19,
2012-2-20,
2012-2-21,
2012-2-22,
2012-2-23,
2012-2-24,
2012-2-25,
2012-2-26,
2012-2-27,
2012-2-28,
2012-2-29,
2012-3-1,45.10
2012-3-2,45.50
2012-3-3,45.70
2012-3-4,46.00
2012-3-5,46.20
2012-3-6,46.50
2012-3-7,46.60
2012-3-8,46.60
2012-3-9,46.60
2012-3-10,46.60
2012-3-11,46.60
2012-3-12,46.60
2012-3-13,46.60
2012-3-14,46.60
2012-3-15,46.60
2012-3-16,46.60
2012-3-17,46.60
2012-3-18,46.60
2012-3-19,46.50
2012-3-20,46.50
2012-3-21,46.60
2012-3-22,46.60
2012-3-23,46.60
2012-3-24,46.60
2012-3-25,46.50
2012-3-26,46.50
2012-3-27,46.50
2012-3-28,46.50
2012-3-29,46.50
2012-3-30,46.40
2012-3-31,46.40
2012-4-1,46.40
2012-4-2,46.30
2012-4-3,46.30
2012-4-4,46.20
2012-4-5,46.20
2012-4-6,46.20
2012-4-7,46.10
2012-4-8,46.10
2012-4-9,46.00
2012-4-10,46.00
2012-4-11,46.00
2012-4-12,45.90
2012-4-13,45.90
2012-4-14,45.90
2012-4-15,45.90
2012-4-16,46.00
2012-4-17,45.90
2012-4-18,45.90
2012-4-19,46.00
2012-4-20,46.00
2012-4-21,46.00
2012-4-22,46.00
2012-4-23,46.00
2012-4-24,46.00
2012-4-25,46.00
2012-4-26,46.10
2012-4-27,46.10
2012-4-28,46.00
2012-4-29,46.00
2012-4-30,46.10
2012-5-1,
2012-5-2,
2012-5-3,
2012-5-4,
2012-5-5,
2012-5-6,
2012-5-7,
2012-5-8,
2012-5-9,
2012-5-10,
2012-5-11,
2012-5-12,
2012-5-13,
2012-5-14,
2012-5-15,
2012-5-16,
2012-5-17,
2012-5-18,
2012-5-19,
2012-5-20,
2012-5-21,
2012-5-22,
2012-5-23,
2012-5-24,
2012-5-25,
2012-5-26,
2012-5-27,
2012-5-28,
2012-5-29,
2012-5-30,
2012-6-1,46.40
2012-6-2,46.40
2012-6-3,46.30
2012-6-4,46.30
2012-6-5,46.20
2012-6-6,46.20
2012-6-7,46.20
2012-6-8,46.10
2012-6-9,46.10
2012-6-10,46.00
2012-6-11,46.00
2012-6-12,46.00
2012-6-13,45.90
2012-6-14,45.90
2012-6-15,45.90
2012-6-16,45.90
2012-6-17,46.00
2012-6-18,45.90
2012-6-19,45.90
2012-6-20,46.00
2012-6-21,46.00
2012-6-22,46.00
2012-6-23,46.00
2012-6-24,46.00
2012-6-25,46.00
2012-6-26,46.00
2012-6-27,46.10
2012-6-28,46.10
2012-6-29,46.00
2012-6-30,46.00
2012-7-1,46.10
2012-7-2,44.90
2012-7-3,44.90
2012-7-4,44.90
2012-7-5,44.90
2012-7-6,44.80
2012-7-7,44.80
2012-7-8,44.80
2012-7-9,44.80
2012-7-10,44.80
2012-7-11,44.70
2012-7-12,44.70
2012-7-13,44.70
2012-7-14,44.60
2012-7-15,44.60
2012-7-16,44.60
2012-7-17,44.50
2012-7-18,44.50
2012-7-19,44.50
2012-7-20,44.50
2012-7-21,44.40
2012-7-22,44.40
2012-7-23,44.40
2012-7-24,44.40
2012-7-25,44.30
2012-7-26,44.30
2012-7-27,44.30
2012-7-28,44.30
2012-7-29,44.20
2012-7-30,44.20
2012-7-31,44.20
2012-8-1,44.10
2012-8-2,44.10
2012-8-3,44.10
2012-8-4,44.10
2012-8-5,44.10
2012-8-6,44.00
2012-8-7,44.00
2012-8-8,43.90
2012-8-9,43.90
2012-8-10,43.90
2012-8-11,43.80
2012-8-12,43.80
2012-8-13,43.80
2012-8-14,43.80
2012-8-15,43.70
2012-8-16,43.70
2012-8-17,43.70
2012-8-18,43.60
2012-8-19,43.70
2012-8-20,43.70
2012-8-21,43.60
2012-8-22,43.60
2012-8-23,43.60
2012-8-24,43.50
2012-8-25,43.50
2012-8-26,43.50
2012-8-27,43.50
2012-8-28,43.40
2012-8-29,43.40
2012-8-30,43.30
2012-8-31,43.30
2012-9-1,43.30
2012-9-2,43.30
2012-9-3,43.30
2012-9-4,43.20
2012-9-5,43.20
2012-9-6,43.20
2012-9-7,43.30
2012-9-8,43.30
2012-9-9,43.30
2012-9-10,43.30
2012-9-11,43.30
2012-9-12,43.30
2012-9-13,43.30
2012-9-14,43.20
2012-9-15,43.20
2012-9-16,43.30
2012-9-17,43.30
2012-9-18,43.30
2012-9-19,43.30
2012-9-20,43.40
2012-9-21,43.40
2012-9-22,43.40
2012-9-23,43.40
2012-9-24,43.40
2012-9-25,43.40
2012-9-26,43.40
2012-9-27,43.30
2012-9-28,43.30
2012-9-29,43.40
2012-9-30,43.30
2012-10-1,43.30
2012-10-2,43.30
2012-10-3,43.30
2012-10-4,43.30
2012-10-5,43.20
2012-10-6,43.20
2012-10-7,43.20
2012-10-8,43.20
2012-10-9,43.20
2012-10-10,43.20
2012-10-11,43.20
2012-10-12,43.20
2012-10-13,43.20
2012-10-14,43.20
2012-10-15,43.20
2012-10-16,43.40
2012-10-17,43.50
2012-10-18,43.60
2012-10-19,43.60
2012-10-20,43.70
2012-10-21,43.70
2012-10-22,43.90
2012-10-23,44.20
2012-10-24,44.50
2012-10-25,44.60
2012-10-26,44.70
2012-10-27,44.70
2012-10-28,44.80
2012-10-29,44.80
2012-10-30,44.90
2012-10-31,45.00
2012-11-1,45.00
2012-11-2,45.00
2012-11-3,45.10
2012-11-4,45.10
2012-11-5,45.20
2012-11-6,45.30
2012-11-7,45.50
2012-11-8,45.80
2012-11-9,46.00
2012-11-10,46.00
2012-11-11,45.90
2012-11-12,45.90
2012-11-13,45.90
2012-11-14,45.70
2012-11-15,45.90
2012-11-16,45.90
2012-11-17,45.80
2012-11-18,45.80
2012-11-19,45.80
2012-11-20,45.80
2012-11-21,45.80
2012-11-22,45.80
2012-11-23,45.90
2012-11-24,45.90
2012-11-25,45.90
2012-11-26,45.90
2012-11-27,45.90
2012-11-28,45.90
2012-11-29,45.90
2012-11-30,45.90
2012-12-1,46.00
2012-12-2,46.00
2012-12-3,46.00
2012-12-4,46.20
2012-12-5,46.50
2012-12-6,46.80
2012-12-7,46.90
2012-12-8,46.80
2012-12-9,46.70
2012-12-10,46.60
2012-12-11,46.60
2012-12-12,46.60
2012-12-13,46.50
2012-12-14,46.50
2012-12-15,46.50
2012-12-16,46.50
2012-12-17,46.50
2012-12-18,46.50
2012-12-19,46.50
2012-12-20,46.50
2012-12-21,46.50
2012-12-22,46.40
2012-12-23,46.40
2012-12-24,46.60
2012-12-25,46.60
2012-12-26,46.60
2012-12-27,46.50
2012-12-28,46.50
2012-12-29,
2012-12-30,
2012-12-31,
2013-1-1,46.40
2013-1-2,46.30
2013-1-3,46.30
2013-1-4,46.30
2013-1-5,46.30
2013-1-6,46.30
2013-1-7,46.30
2013-1-8,46.30
2013-1-9,46.30
2013-1-10,46.30
2013-1-11,46.30
2013-1-12,46.30
2013-1-13,46.30
2013-1-14,46.30
2013-1-15,46.30
2013-1-16,46.40
2013-1-17,46.50
2013-1-18,46.50
2013-1-19,46.50
2013-1-20,46.50
2013-1-21,46.50
2013-1-22,46.50
2013-1-23,46.50
2013-1-24,46.50
2013-1-25,46.40
2013-1-26,46.40
2013-1-27,46.40
2013-1-28,46.30
2013-1-29,46.30
2013-1-30,46.30
2013-1-31,46.40
2013-2-1,46.50
2013-2-2,46.60
2013-2-3,46.60
2013-2-4,46.60
2013-2-5,46.50
2013-2-6,46.50
2013-2-7,46.50
2013-2-8,46.50
2013-2-9,46.50
2013-2-10,46.50
2013-2-11,46.50
2013-2-12,46.50
2013-2-13,46.50
2013-2-14,46.50
2013-2-15,46.50
2013-2-16,46.50
2013-2-17,46.50
2013-2-18,46.60
2013-2-19,46.60
2013-2-20,46.50
2013-2-21,46.50
2013-2-22,46.50
2013-2-23,46.50
2013-2-24,46.60
2013-2-25,46.60
2013-2-26,46.50
2013-2-27,46.50
2013-2-28,46.50
2013-3-1,46.50
2013-3-2,46.40
2013-3-3,46.40
2013-3-4,46.40
2013-3-5,46.30
2013-3-6,46.30
2013-3-7,46.30
2013-3-8,46.30
2013-3-9,46.30
2013-3-10,46.20
2013-3-11,46.20
2013-3-12,46.20
2013-3-13,46.20
2013-3-14,46.30
2013-3-15,46.40
2013-3-16,46.40
2013-3-17,46.50
2013-3-18,46.50
2013-3-19,46.60
2013-3-20,46.80
2013-3-21,46.80
2013-3-22,46.70
2013-3-23,46.80
2013-3-24,46.70
2013-3-25,46.70
2013-3-26,46.70
2013-3-27,46.70
2013-3-28,46.60
2013-3-29,46.60
2013-3-30,46.60
2013-3-31,46.50
2013-4-1,46.50
2013-4-2,46.50
2013-4-3,46.70
2013-4-4,46.70
2013-4-5,46.60
2013-4-6,46.60
2013-4-7,46.60
2013-4-8,46.60
2013-4-9,46.60
2013-4-10,46.60
2013-4-11,46.60
2013-4-12,46.70
2013-4-13,46.70
2013-4-14,46.70
2013-4-15,46.70
2013-4-16,46.60
2013-4-17,46.60
2013-4-18,46.60
2013-4-19,46.60
2013-4-20,46.60
2013-4-21,46.60
2013-4-22,46.60
2013-4-23,46.60
2013-4-24,46.60
2013-4-25,46.60
2013-4-26,46.60
2013-4-27,46.60
2013-4-28,46.50
2013-4-29,46.50
